adult,child
wipe the mouth .,mouth
- You want to see the baby?,baby
Make yourself at home.,home
someone's in the lion sock !,lion
how will they ever get this cat out of here ?,cat
` His right hand . ',hand
"Mommy, Daddy's fighting again!",mommy
"We need help, man.",help
[Car Door Closes],car
bouncing on the bus take a ride with us .,bus
"- that's who i am, baby.",baby
I'd keep my mouth shut.,mouth
good night ?,night
there is a cup of milk ?,cup
who goes in the chair ?,chair
I'm not doing TV right now.,tv
The little girl nursery.,girl
We're in a car.,car
She's always in bed by 10PM.,bed
huge baby pool .,baby
A baby.,baby
I can even afford a car.,car
oh well do you want the daddy .,daddy
Close your eyes.,eyes
who's home with the baby ?,home
Hold my hand.,hand
how bout this book ?,book
rain what .,rain
What about the car?,car
right foot .,foot
Er  for me eyes.,eyes
his hat far upon the back of his head.,hat
"I hate the dark, I always have.",dark
- Help me!,help
- She would not wait.,wait
aren't you going to talk today ?,today
Give him milk when he wakes up.,milk
Explosive head bullets.,head
with a critical and discriminating eye.,eye
no you don't talk baby talk to him .,baby
where does the apple go ?,apple
should we find a book to read .,book
You have a pretty mouth.,mouth
"Help me""",help
can you say apple ?,apple
I feel uncomfortable from head to toe!,head
"A night out with you, a new dress.",night
no what's on the bed ?,bed
Why are we outside of the kitchen?,kitchen
Don't you want to write your own book?,book
there now can you put it in the box .,box
you want to read your book ?,book
"Wait, wait wait.",wait
If I buy any more bloody milk I shall go bonkers!,milk
With this towards the rock my route speeds:,rock
- A teenage girl hates her father.,girl
We should take it out of the car now.,car
"Can the help sit at the table, too?",help
No I'm listening to the radio.,radio
"Welcome my moon, my sun",moon
what happens if the dog's licking you ?,dog
what comes after apple ?,apple
It's better if you keep your head down.,head
i because i don't go there with you mommy does .,mommy
- He's not home.,home
this is the mommy and daddy's room .,mommy
You know Daddy's a policeman.,daddy
you say bye bye daddy .,daddy
more bottle ?,bottle
- Hi.,hi
Alone in bed;,bed
no don't kick that ?,kick
Wait here.,wait
yes you want mommy to go get blankie .,mommy
After that kiss !,kiss
on his head .,head
-Give me your phone I'll just look at it!,phone
Brush her hair.,hair
I still have it in the head.,head
Why won't you let yourself have this car?,car
"Baby, I get scratches all the time.",baby
i'll help you .,help
do they hang down in your eyes ?,eyes
"I need your help, Luna'.",help
meow .,meow
- Hi.,hi
ball .,ball
"to-night it will give me my desire!""",night
do you like swinging with mommy ?,mommy
Wait for me.,wait
Thank you chair.,chair
what is dolly wearing today ?,today
that girl stays in the house .,girl
here's your cat .,cat
no she doesn't doesn't like rain .,rain
You need help.,help
You can help me.,help
this a bird ?,bird
"I, I, that's what I would do.",i
you're getting a runny nose .,nose
What's today?,today
How may I help you?,help
“What star is this” (87),star
"New girl, new girl.",girl
Good night.,night
ball !,ball
"Anyway, playing at home.",home
do i have to pour it in the cup .,cup
little bear is learning how to find a lost glove .,bear
but where's mommy's nose ?,mommy
Today I am going to knock you back to your senses!,today
a p mommy .,mommy
Hi Ankita.,hi
i'm making some bread .,bread
They push us.,push
Help him!,help
milk and yoghurt and granola .,milk
do you need a kiss .,kiss
i can help it i wanna walk .,help
"No, I'm not naughty girl like you!",girl
I'll be quiet as a mouse.,mouse
look we have chair .,chair
ooh i have to make daddy's lunch ?,daddy
You'll pay me today!,today
The nose is a little..,nose
it has a lion in it .,lion
teach mommy how to do that .,mommy
want to eat some bread .,bread
Into the dog walk.,dog
throw it in the box .,box
or she's in her bath robe ?,bath
is there a light in here .,light
daddy's gonna play with you when gets home today .,daddy
is that baby food .,baby
the other hand .,hand
you see her head .,head
Answer the phone.,phone
which flower do you like best .,flower
they don't go in your mouth .,mouth
Put your hand right here.,hand
I couldn't help but wonder...,help
is that a boat .,boat
here's some baby clothes .,baby
(car engine approaching),car
"- Oh, your hand's on my leg.",hand
put the ball in and we'll get another box ?,ball
(dog barking),dog
and mommy has a two on her nose .,mommy
a star ?,star
Help him.,help
Please help !,help
or over here is it under your chair nope ?,chair
- Wait.,wait
play ball with mommy ?,ball
no not today ?,today
My girl is like a channel.,girl
I'll help you.,help
"Hey, wait up.",wait
i'm the mommy of this dolly .,mommy
cow very good .,cow
She's in bed.,bed
I don't need any help.,help
Have some light.,light
Any other leg men in here?,leg
- Will you help me?,help
that's the girl ?,girl
yucky with the candy no no no no .,candy
Your hand.,hand
at the mouth ?,mouth
a baby cries .,baby
daddy .,daddy
Today is my mother's birthday,today
Good night.,night
wait .,wait
first you show mommy how to do this .,mommy
(DOG WHIMPERING),dog
here's your milk .,milk
this is daddy .,daddy
... get to the boat.,boat
mommy get this to stand up ?,mommy
who's home ?,home
Last night's massacre?,night
only one hand .,hand
a cat ?,cat
Daddy will.,daddy
i know but but it might be rain .,rain
go get the ball ethan .,ball
Nasty break.,break
no the duck says quack quack .,duck
oh here comes a car !,car
Eye for an eye.,eye
On your hand?,hand
the bear .,bear
ball .,ball
Today everything is different.,today
bear !,bear
Oh you mean a bed?,bed
you knock that car over with what .,car
put your hand here .,hand
Wait it out.,wait
baby's towel !,baby
hi daddy .,daddy
Good night.,night
Are you living at home?,home
What if I break it?,break
What you doing with the  a cup of tea.,cup
oh good i have a broken leg .,leg
banana .,banana
okay let's take a break okay ?,break
♪♪ [baby babbling on speaker] [laughs],baby
"Who likes juice, Horace?",juice
how does a lion sound ?,lion
that's the wrong foot .,foot
that's the moon ?,moon
"We'll get you in the car, all right?",car
wait .,wait
meow .,meow
2-foot splits and 5-foot-long suit.,foot
"- What's up, baby?",baby
well most fish does have bones in it ?,fish
She's not home.,home
"That's my baby now.""",baby
Why won't they wait?,wait
- Hi.,hi
- Hi.,hi
yeah there are yeah you could have fresh banana ?,banana
can you get the ball in the box ?,ball
you wanna learn come sit on mommy's lap ?,mommy
Good girl.,girl
Would you like to have a break for tea now?,break
¶ Please say the baby.,baby
Look at your hand.,hand
- KICK THE TOE THAT WAY-- 14--,kick
mommy's gonna have one of these .,mommy
His phone is not reachable.,phone
You see the curly hair there.,hair
"Starting today, i decide where the money goes.",today
Won't you thank the Big Boss?,big
- My eyes?,eyes
Get out of my head!,head
you stay with mommy .,mommy
take a bath .,bath
fish .,fish
this is his hat ?,hat
"I hate you, Daddy!",daddy
gonna let him see your book !,book
i think he might be in his truck ?,truck
Looking at eyes and colour,eyes
- Out where ?,out
Please give me a hand.,hand
look at mommy ?,mommy
Push up again.,push
here's a toast .,toast
- Chair.,chair
♪ By the light of the silvery ♪,light
i know the ball is stuck ethan .,ball
or you wanna read your book .,book
Still looking for a new shoe size?,shoe
It's tough to hurt you.,hurt
It just one night?,night
"- Night, Mrs. Cole.",night
"Wait, wait.",wait
that's a spoon !,spoon
you'll hurt yourself .,hurt
"FIRST, DON'T WORRY.",don't
apple .,apple
it is a star ?,star
In the car.,car
"Oh, wait.",wait
okay you sit here and i'll get a cookie ?,cookie
- Most home runs?,home
chasing the car ?,car
let's read this book .,book
"And then he, like, draws me a bath.",bath
"Whass up, baby ?",baby
daddy wants to give you a bath .,daddy
And the moon sees somebody I'd want to see,moon
daddy takes caillou on a long car ride .,daddy
you know what let mommy go get your crayon box upstairs .,mommy
I can't bear it anymore.,bear
this can be a baby .,baby
Will you sing?,sing
where's his eyes ?,eyes
Just wait and hear what she has to say.,wait
and then come back at night sarah ?,night
Can't believe actually today's here.,today
where's the baby ?,baby
Please stop jumping on the chair arms will you?,chair
This is dog food!,dog
ball .,ball
You do not jump and do not jump no more!,jump
the baby yes .,baby
nose ?,nose
does it fit on the block .,block
BOOK THREE,book
daddy will get a diaper ?,daddy
Get it out of my head!,head
That's not a moo cow.,cow
foot bup ?,foot
I tell you the girl knows nothing.,girl
"- Me, Andrea.",me
do you want daddy to kiss it too ?,daddy
"You know, the full moon's coming, Derek.",moon
try out the jump rope slide down the slide .,jump
"""Yeah, baby.",baby
it's about a little girl who's ?,girl
that's a car ?,car
"- Come on, baby.",baby
moon ?,moon
let's give him a little hair .,hair
"Hi, daddy.",daddy
that is a sock !,sock
i'm tying my shoe .,shoe
oh okay let's not put it in your mouth honey .,mouth
Big Ben.,big
That's likely to change when the baby comes.,baby
Now duck.,duck
what's in this box ?,box
do you have a boat at nana's ?,boat
"That livelong night the foes, throughout their tents,",night
-You throw the book at the guy.,book
would you like to sit in the chair dale huh ?,chair
hair ?,hair
okay put a little star on marky's forehead .,star
daddy says it like this dew .,daddy
oh his head backwards again ?,head
car ?,car
Here is today's crucial moment.,today
that's not a box .,box
Got cereal?,cereal
That... that terrible night...,night
More than baby pictures.,baby
"Look at me, baby girl.",baby
no toast .,toast
"Whoa, wait.",wait
- Want a foot rub?,foot
where's the car ?,car
"""Don't talk about the baby.""",baby
oh look at this baby .,baby
Make yourself at home.,home
"Breathe, baby.",baby
it's a baby cow .,baby
Need help?,help
you want the ball .,ball
would joseph like a cookie ?,cookie
"Wait, what?",wait
here's another fish .,fish
But why doesn't the Moon fall to Earth?,moon
maybe it's under the table .,table
"- Me, you mean?",me
do you wanna read a book to me ?,book
i'm bringing juice .,juice
nose .,nose
I see myself through your eyes conveying love.,eyes
"""Grandma, please think it over again.",grandma
it's not a ball ?,ball
she's still drinking her milk ?,milk
here here give me your hand .,hand
Open the car.,car
Good girl?,girl
"Close your eyes, close your eyes ...",eyes
now it's daddy's turn .,daddy
have a mouth ?,mouth
you help !,help
NowI'IIstuffyou with bread It don't hurt 'causeyou're dead,bread
that's a box ?,box
but now they know my car.,car
It's a girl.,girl
want the book ?,book
I need your help.,help
Bad night.,night
I always carry my rocking chair along.,chair
he's a little girl ?,girl
your mouth's so full .,mouth
sitting on a chair ?,chair
put it in give me the box .,box
"Boat balance, keep the hull flat for maximum speed.",boat
Do you mind not doing that at the table?,table
there's an empty chair there .,chair
"As languishes the flower of purple hue,",flower
Just rock after rock.,rock
"Look what the cat drug in, kid!",cat
come to mommy .,mommy
could mommy have a crayon please .,mommy
"Run off to bed , child .",bed
would you like a little milk in your cup laura ?,milk
Give me your spoon.,spoon
nice baby .,baby
you want ta read this book .,book
ball ball ball .,ball
to sing to him,sing
"Poor girl, she is one legged, bye!",girl
"We have a book in which to look,",book
night night .,night
The dark sacred night,night
Please wait.,wait
Can we walk  to grandma?,grandma
when you push ?,push
you can do it with two ha with one hand .,hand
can you read to mommy ?,mommy
A box?,box
it's a rock ?,rock
"Toast, what are you doing?",toast
Go tease the girl who is standing being me.,girl
You're a very nice girl.,girl
what's the mommy doing ?,mommy
oh hurry up so you can help grandma with that cup .,grandma
another book okay you deserve it .,book
Get help.,help
"- Hey, pal, it's my car.",car
Give me your hand.,hand
no regular bread .,bread
are you gonna throw me the ball .,ball
You hurt?,hurt
that's my toast .,toast
the cow can't go on the bus that's right ?,cow
and what's the cat doing ?,cat
"It looks like TV football, viewing party last night.",tv
you want fresh banana .,banana
you want another hat ?,hat
do you see another car ?,car
- Oh baby.,baby
look at her pretty eyes .,eyes
make them a cup .,cup
- Show me the phone.,phone
"You can't help worrying, suffering.",help
Why is the phone unplugged?,phone
Go cut you some bread?,bread
is that a cow .,cow
here's some milk .,milk
where's his eye ?,eye
daddy is eating ?,daddy
- Jump around.,jump
Tripping over her shoe laces.,shoe
The moon flying high,moon
oh good girl .,girl
a cookie ?,cookie
"Fourteen Foot Bank, 132, 143-47",foot
Sing it!,sing
"Mmm, fish eggs.",fish
oh he's a sorry bear .,bear
"Talk your girl, Divya.",girl
- Eyes a little baggy.,eyes
I'll get you some milk.,milk
She needs our help.,help
On the head.,head
another bed .,bed
to her as one listens to a bird warbling.,bird
I'll help you.,help
She don't blooming want a cup!,cup
"Soon, not whisper their home.",home
After they break up?,break
"All raise your head, back to back.",head
Now is grandma dead?,grandma
♪ Your eyes in stars above,eyes
We can help you.,help
Mommy will be right with you.,mommy
She doesn't have a phone.,phone
What's your home address Mr ?,home
Do you want a cup of coffee?,cup
let's see the ball .,ball
- One kiss from you is all I ask.,kiss
duck ?,duck
are you gonna buy your baby something to eat ?,baby
you wanna sit on the bed ?,bed
"Remove your keys, any metal objects.",keys
well well that's a ball .,ball
Do you want a hand buttoning up?,hand
I'm going after that truck.,truck
alright mommy will get another one .,mommy
It looks like rain.,rain
meow .,meow
She'll wait up.,wait
- Last night.,night
nose .,nose
"Wait, he can sense you?",wait
oh cover your mouth .,mouth
Is this you as a baby?,baby
like  ooh  can we have it in bath please?,bath
He's a bed wetter?,bed
it's a good toast isn't it .,toast
"The moon also gIitters, but it's not frightening.",moon
What's that bear it any longer,bear
you have milk in your cup .,milk
you wanna invite mommy to the tea party ?,mommy
"Let me give you a hand, Stoke!",hand
You and the girl must disappear.,girl
And absolutely the best car in this garage?,car
mm the ball ?,ball
(girl grunting),girl
there's a spoon .,spoon
wait wait wait they're sticking together .,wait
Oh light helps you concentrate does it?,light
You're the only one who can help them.,help
Put him on the box so we can all hear him.,box
How Can I sing?,sing
bread and butter ?,bread
Bus or car?,bus
"- The girl, sir.",girl
baby .,baby
"- Hi, Miss...",hi
- Hi.,hi
"book is full of weird fascination, and will add to Mrs.",book
it belongs to mommy ?,mommy
and white fish .,fish
a coat .,coat
What pretty hair!,hair
A cow?,cow
Yeah is that a help or a hindrance ?,help
is the baby liking it jillian .,baby
the apple's over there .,apple
"They break us, you know.",break
You see the light after Lock-out Time .,light
...off into the night.,night
put the baby in here .,baby
more milk ?,milk
"Oh, hat's great news, Jen.",hat
Then he's touring that chemical plant in Point Pleasant today.,plant
Get on the phone.,phone
throw an apple ?,apple
Juice cartons on the right,juice
can mommy sit next to you .,mommy
I don't wanna show my hand too early.,hand
how do they get milk from a cow ?,milk
We'll take the next boat.,boat
The warm banana?,banana
Walk into the light.,light
and then they turn white in the sun ?,sun
"Well, home is where the battle is.",home
I see the moon and the moon sees me,moon
isn't that the daddy ?,daddy
some milk but nothing's open tomorrow so .,milk
"Yes, The Sun.",sun
- Hi.,hi
It's our last night.,night
but it'd look funny on my table.,table
oh dear baby in the mud ?,baby
- The girl in that magazine isn't who I am!,girl
Do you have the keys to this?,keys
- Does that hurt?,hurt
you want daddy to fix the door .,daddy
which mommy's gonna take care of right now .,mommy
a ball .,ball
Go Moon...,moon
the phone .,phone
oh daddy will get you a little piece of doughnut too .,daddy
"""and he strides to the heavenly home of our ancestors""",home
And another foot.,foot
throw it to mommy .,mommy
(Phone rings),phone
Help me.,help
-Do you need the phone?,phone
let me wipe your nose .,nose
we want some more toast .,toast
You can go in there with your dog.,dog
good night lia .,night
bus .,bus
Wait here.,wait
Lay it over his eyes!,eyes
"subject from the outside, will fail to place himself sufficiently in",outside
a book .,book
can you push that can you make it go ?,push
It only contains car registrations.,car
You calling me a cat?,cat
where's the duck ?,duck
you can't read without your hat .,hat
Look at my eyes and say that ..................(CENSORED),eyes
daddy's puppy ?,daddy
Which book?,book
Who's driving the truck?,truck
duck .,duck
"It's when Car , yes, no ah",car
RADIO DJ: 73 degrees in downtown Albuquerque.,radio
oh here's the star wars book .,star
i sing it .,sing
And I will not keep my mouth shut.,mouth
that's another hair pin ?,hair
excited bear .,bear
Walk on through the rain,rain
Do you want another cup of tea Tony?,cup
duck !,duck
without any help ?,help
where is my baby ?,baby
i'll put it on here the bed .,bed
I have a very eclectic feed.,feed
2.Assaulting the Home Minister's son.,home
duck goes quack quack quack quack quack .,duck
...when you get home.,home
comb their hair make their hair pretty .,hair
"""Well, I won't wait any longer.""",wait
"Oh, you want to get off the boat?",boat
"- Hi, Viv.",hi
oh let's put it back on the table .,table
here's your bear blanket .,bear
daddy will pick you up .,daddy
You're a funny girl.,girl
daddy turn on the light .,daddy
Is this our book mum?,book
"An ear, an eye, a finger.",ear
can you kiss it ?,kiss
huh the book has six bats .,book
you don't want him to climb my leg .,leg
You look on it from the outside.,outside
bear gets a piggyback ride .,bear
Where's the ball?,ball
"Good night, Gordon.",night
now he's in the rain .,rain
that's a clock !,clock
come to mommy .,mommy
smile .,smile
mommy thinks you're sleepy .,mommy
- I'll meet you by the car.,car
(baby coos),baby
I don't have your phone number.,phone
a cat on the sidewalk too ?,cat
duck quack quack quack quack !,duck
push it down first .,push
You'd have to make a phone call?,phone
Today's Times editorial?,today
Shut up your mouth,mouth
"What, daddy?",daddy
Making book?,book
"Rock of Ages lighthouse, 210, 214-15, 216",rock
"The bird  cor, better",bird
you gonna sit down on the small little chair ?,chair
"- Hi, Larry.",hi
There's no book store on 3rd.,book
The car's out front when you're ready.,car
what's the bird doing ?,bird
- We'll talk about it in the kitchen.,kitchen
how about my box ?,box
is it on this chair pete ?,chair
Give me a break.,break
What a good girl you are.,girl
"I'm here, baby.",baby
that's milk .,milk
He wants the book.,book
` Out with the light !,light
do you want cereal ?,cereal
You have to pull the chair out for her.,chair
the car's going slow the car's going fast ?,car
don't drive on the bed .,bed
the pink cup ?,cup
"Hey, a dog!",dog
"Wait, you're really leaving?",wait
star .,star
Are you worried about your car or about the victim?,car
Ah at last home,home
- Wait.,wait
this is daddy rabbit ?,daddy
they're sitting on the book ?,book
"Today, 50 is an entirely new landscape.",today
IN THE NIGHT.,night
Send the car.,car
- [Radio chirps],radio
that a girl .,girl
you know who's coming home today ?,today
"It's a fish, Mr. General...",fish
..out of home is talking about morals,home
"Wait, you're not gonna shoot me?",wait
(PHONE VIBRATING),phone
The book lists 12 black cars that day.,book
mm bye mommy bye baby o .,baby
oh the baby's six months old .,baby
"""You will find it when you get home.""",home
i don't know what an orange banana is ?,banana
smile. “There is nothing except Nature.”,smile
throw a banana .,banana
Want a cup of tea?,cup
holding out his hand to it.,hand
hehe fish ?,fish
buy a baby ?,baby
Stop the car!,car
Come back to bed.,bed
this is for your mommy .,mommy
come sit in your chair and you can do some crayons .,chair
there's a dog .,dog
yeah now push this in .,push
can i feel your hair .,hair
duck .,duck
"I'm able to empirically, with my eyes...",eyes
- Hi.,hi
the girl.,girl
Is that the new baby?,baby
poor mouse ?,mouse
Poor girl,girl
- Wait here.,wait
you want a book .,book
what's a cat say ?,cat
show me your hand yes this is billy barlow .,hand
ah what's daddy's name naima .,daddy
Grandma's here to see you.,grandma
you might break that off .,break
the bear book !,bear
we have to see the phone maybe another time .,phone
you don't want to look at the book do you !,book
"- Hi, Amaar.",hi
And those pathetic eyes of hers;,eyes
you going to put it back together for the baby .,baby
car right sweetie yay !,car
hair .,hair
Daddy's here.,daddy
Have a good night.,night
Fish eggs?,fish
I tell you the girl must have them on her.,girl
"Wait, wait.",wait
(phone rings),phone
"Coming, baby!",baby
From today we have separate ways.,today
right that's another tow truck .,truck
you want some toast ?,toast
Can't this wait?,wait
baby bear .,baby
My dog's a big dobbo !,dog
do you see a phone ?,phone
when i wear my striped hat i'm the engineer ?,hat
Wait for it.,wait
Could just get his car down it.,car
"go to bed.""",bed
and a baby .,baby
Well that don't hurt does it.,hurt
some light on it.”,light
you want some apple ?,apple
I'm gonna smack that ball into Lake Michigan.,ball
you want to sit up in the chair .,chair
- Your whole hat theory...,hat
the box .,box
"Truck, ammo, move.",truck
Get the baby!,baby
Somebody help me!,help
in the dog house ?,dog
It's your home,home
Good night.,night
Who leaves their car and takes a taxi?,car
is your hair wet .,hair
Tell him he's not a daddy!,daddy
good girl !,girl
daddy's chair ?,daddy
can you help me take it off ?,help
this isn't the lion ?,lion
♪ They can't black out the moon ♪,moon
oh baby .,baby
really does he talk on the phone at work .,phone
"♪ Sun, glitter above Shining on everyone♪",sun
well thank you my daddy ?,daddy
lion .,lion
where's the big bed ?,bed
Put him on the table.,table
fish yeah .,fish
"But wait, there's more.",wait
The cat's out of the bag!,cat
that's a big block .,block
- Just don't argue with me girl!,girl
sit up here on the table and open it .,table
the bed .,bed
You mean on TV?,tv
I want a smile from you.,smile
You don't believe in a guiding light?,light
er   car park about a fortnight ago.,car
you take this cup .,cup
"Hey, stay with Mommy for a second, okay?",mommy
(FAST-PACED music playing),fast
"Daddy, water!",daddy
I have one in my car.,car
baby april !,baby
that looks like a mouse ?,mouse
look he drives a truck .,truck
Close the other eye!,eye
but i need you to go back to bed now.,bed
The same goes for that boat.,boat
it's in the bed room .,bed
"Please, don't hurt her.",hurt
what are you doing with that candy ?,candy
go get the ball !,ball
FROM HOME,home
How would that help losing you?,help
what does a duck say ?,duck
ooh that's baby trevor ooh is he's so tiny .,baby
what're you turning her head around for ?,head
i will i'll get your hat back .,hat
let daddy get a cup .,daddy
well we need a nose don't we .,nose
I need her help to get me out of it.,help
you sing .,sing
Rain down on here. ?,rain
Please don't hurt me.,hurt
that's the car .,car
"I don't think the book choice is the problem,",book
a dog ?,dog
ah that's his bed .,bed
Where's your car?,car
"You know, I love this boat.",boat
Give me your phone.,phone
daddy has .,daddy
melissa are you going to read the baby a book .,baby
The plant that stanley travels for.,plant
oh is he going to get the bear ?,bear
How are you today?,today
"- Good night, son.",night
"Hello, bed!",bed
the dark all around us .,dark
Today is no enemy day for us.,today
Where's the girl?,girl
can you say apple ?,apple
op your grandma's calling you .,grandma
Yes Big Boss.,big
i gonna wash you with a cup ?,cup
The Hand of the Goral:,hand
What about the radio?,radio
ope he's going off the table ?,table
don't bring a car ?,car
"eye varies greatly in the number of its lenses, ranging from",eye
"`` Now , the foot !",foot
Don't ask for my help.,help
So...radio stations in here?,radio
row your boat .,boat
okay now show mommy how to make it ?,mommy
here's your juice .,juice
how are you doing today ?,today
"- NEED A BREAK, TAKE IT.",break
- A hot-dog stand?,dog
How can you milk in here?,milk
apple ?,apple
- A toast.,toast
His coat looks much better.,coat
Kick me.,kick
you're pretending that you're the mommy ?,mommy
where're they going in the car ?,car
can i have the ball ?,ball
my eyes go kaooga .,eyes
yes that's juice .,juice
"This rock,",rock
- I need a truck.,truck
Not my smart girl.,girl
Will you be going in the bath later?,bath
-You can watch it right here on TV.,tv
coat ?,coat
cleaning his nose .,nose
We'll talk about this at home.,home
and daddy's gonna come home ?,daddy
Get out dog !,dog
well let's take the truck to the circus .,truck
I could help you.,help
- I couldn't help it.,help
you want to put it on the table .,table
that book is about apples .,book
-In the kitchen.,kitchen
she pulls down her pants and lifts the lid ?,pants
a duck .,duck
how may i help you ?,help
A kitchen?,kitchen
You can't park your car here.,car
it is mommy's coffee you're right .,mommy
daddy has a conference call right now .,daddy
if you stand up i'll draw your toe ?,toe
- We reshot the kiss.,kiss
"Wait, no.",wait
daddy's gonna read him what .,daddy
"No, box  a Coventry expression, get on",box
the table cloth's kicking you ?,table
leave the milk and juice .,milk
you have a nice toast .,toast
Baby... come on.,baby
"You're my baby, man.",baby
- are all over his car.,car
- And this is their home!,home
Should not be in bed.,bed
Get away from the car.,car
sun is shining ?,sun
- Wait.,wait
Her waiting eyes!,eyes
[phone ringing],phone
"You're a nice girl, Jemina.",girl
throw the ball .,ball
playing with the ball um .,ball
"Take us to the bed section, my good man.",bed
oh are you taking the book .,book
- They sure can sing.,sing
"Good night, Lynn.",night
what truck ?,truck
The kiss?,kiss
I'll eat when I get home.,home
(PHONE CLATTERS ON FLOOR),phone
a car .,car
It's a beautiful night of magic and wonder.,night
that big lion it's a tiger .,lion
- The radio.,radio
- Hi.,hi
it's a bear yeah .,bear
I'm sorry about last night.,night
you're not happy with the book !,book
Home sweet home.,home
[Cat yowls] Ow!,cat
Them fish look like mama after she takes her arm vitamins.,fish
"- Yeah, sun block.",sun
see its nose ?,nose
- Who is that girl?,girl
daddy's blowing the nose yeah .,daddy
I'm a good girl!,girl
it could really hurt you if it bit .,hurt
(PHONE ringing),phone
Wait for me...,wait
Push it!,push
It might not seem much to keep a bear going.,bear
- You need a hand?,hand
with the keys so we can go out okay ?,keys
"- OK, Big Luc.",big
Don't you worry your pretty little head.,head
I hear you at night.,night
that's that could break .,break
you can pour a little milk in there .,milk
"come on, get in the truck quick!",truck
Help me.,help
don't write in the book okay !,book
One bus ticket to Austin. 8:00 a.m. tomorrow.,bus
car .,car
Is Daddy putting Michael Jackson in?,daddy
that's who's truck .,truck
Turn the car back!,car
but you can take bread outside couldn't you ?,bread
You want a cookie?,cookie
i'll help you .,help
So she's not gonna give me the book?,book
"You know, his right foot.",foot
I may as well clearthe table.,table
Why are they treating this car like it's a hotel?,car
I think I'll get the Radio Times this week .,radio
it is windy today .,today
they're on a boat,boat
good girl .,girl
[phone ringing],phone
and the baby is in the egg .,baby
"I think fish is over a pound, yeah.",fish
ball .,ball
"No, but she has blonde hair, like Clara.",hair
what is today ?,today
[Keys clack],keys
And our star today is the actress Lake Bell.,star
Then we wait till he's sober.,wait
[tapping foot],foot
that's the sun .,sun
Jump around.,jump
I'm not here to hurt you.,hurt
"- No, grandma.",grandma
Beware of the light.,light
"Rock-a-bye baby, on the tree top",rock
Keep your head down . '',head
Isn't it better at my home?,home
Wait for me.,wait
I'll probably phone it in actually.,phone
you want me to eat it with this spoon .,spoon
can you get that ball ?,ball
where's my cat ?,cat
you'll pull the light down .,light
how are you today ?,today
"""They will say it is rain-water.""",rain
"Why does the dog sniff, if it is vegetable?",dog
I don't need your help.,help
do you want more milk ?,milk
make the eyes spin .,eyes
push over here ?,push
"I'll keep an eye, spend your money.",eye
Can I help you?,help
ear after ear ?,ear
A HAND IN THE DARK,hand
"Watch where you go, girl!",girl
we don't stand up at the table .,table
i'm the girl ?,girl
can you see his hand ?,hand
okay night night hon .,night
hand side.,hand
I would make a phone call.,phone
You bad baby!,baby
Must be the full moon.,moon
what about the car ?,car
it's not a ball ?,ball
truck .,truck
Give me your keys.,keys
"If you don't kiss, kiss",kiss
You'll follow him home?,home
"Oh, you mean the flower show.",flower
He needs our help!,help
Put this in your mouth.,mouth
you sit down and i'll bring a box over ?,box
I DON'T KNOW.,don't
yeah look at the baby .,baby
that's such a big bed griz .,bed
kitchen table .,kitchen
RIGHT NOW WE GOT IN AND OUT STRAIGHT ARM SHOULDER FLIES.,out
look at the tiny baby .,baby
But he'll take a bath on those leases.,bath
the indian book .,book
Please come back to bed.,bed
who's that over there in the chair ?,chair
i see a mouse on the book .,mouse
We're in the same boat now.,boat
you need some help ?,help
that goes on your left foot .,foot
you can't take the milk outside .,milk
Good girl.,girl
(CAR DOOR CLOSES),car
WHERE'S YOUR HEAD AT?,head
that's a good girl .,girl
is that daddy ?,daddy
Close your eyes.,eyes
baby bear .,baby
It's tough to tell in this light.,light
eyes than in wide empty spaces of unthinking continents!,eyes
oops mommy will get it .,mommy
Oh baby.,baby
daddy get a diaper .,daddy
I'm a bird!,bird
Oh my head feels .,head
mhm dog and a cat .,dog
I couldn't wait to go.,wait
"Baby, go faster!""",baby
now pour me a cup of tea .,cup
"Come on, give me a kiss.",kiss
Kitty Zhang,kitty
Just help me down!,help
I'm in my car.,car
You're something of an open book.,book
Can you climb down and get some help ?,help
You're such a dog.,dog
observing the dog narrowly.,dog
It's going on the box.,box
Keeps his truck clean.,truck
You know in that bed...,bed
Give grandma a kiss.,grandma
put it on the other foot ?,foot
yeah i see the daddy's riding the cow .,daddy
Shall I wait and think about it?,wait
"""Chair."" Now you say it.",chair
should we make the light go bye bye .,light
- Last night.,night
"HI, MR. HARRISON.",hi
need kiss .,kiss
he's on a boat .,boat
kitty cat ?,kitty
waking up the baby .,baby
[Stereo] Toe to toe,toe
"Wait, wait.",wait
a book ?,book
And what about that car?,car
we don't have the phone any more .,phone
I must cut his hair.,hair
i'm working on your fore hand .,hand
"Welcome home, darling.",home
you don't want the cookie okay ?,cookie
is that a block ?,block
you can smell it  in the book,book
How do you feel about the girl?,girl
can you help me ?,help
cereal ?,cereal
This is the last leg.,leg
- Wait!,wait
She's clearly in a car with another man.,car
yeah throwing some milk too ?,milk
Why can't he help me?,help
he has a big nose don't he .,nose
can you play pattycake ?,pattycake
The night attack--The Hazaras arrive--Jiand retires--We,night
where's your table ?,table
i think there're some fish in the charles river .,fish
where's mommy's eyes ?,mommy
you want milk in your bowl ?,milk
we can take it to bed with you if you want .,bed
Use your mouse.,mouse
it's a good apple !,apple
"Good night, honey.",night
You help me to...,help
because you like him he's a nice little dog ?,dog
for the nose .,nose
